Division,Full_name
Southeast,Atlanta Hawks
Atlantic,Boston Celtics
Atlantic,Brooklyn Nets
Southeast,Charlotte Hornets
Central,Chicago Bulls
Central,Cleveland Cavaliers
Southwest,Dallas Mavericks
Northwest,Denver Nuggets
Central,Detroit Pistons
Pacific,Golden State Warriors
Southwest,Houston Rockets
Central,Indiana Pacers
Pacific,LA Clippers
Pacific,Los Angeles Lakers
Southwest,Memphis Grizzlies
Southeast,Miami Heat
Central,Milwaukee Bucks
Northwest,Minnesota Timberwolves
Southwest,New Orleans Pelicans
Atlantic,New York Knicks
Northwest,Oklahoma City Thunder
Southeast,Orlando Magic
Atlantic,Philadelphia 76ers
Pacific,Phoenix Suns
Northwest,Portland Trail Blazers
Pacific,Sacramento Kings
Southwest,San Antonio Spurs
Atlantic,Toronto Raptors
Northwest,Utah Jazz
Southeast,Washington Wizards
